| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФВ     | 0.0      | 0      | "1,112.4,0,1"                                                          | ""                                                                     |
| ФКТ    | 112.4    | 0      | "1,112.4,0,1"                                                          | ""                                                                     |
| ФП     | 112.4    | 0      | ""                                                                     | "1,112.4,0,1"                                                          |
| ФП     | 112.4    | 0      | ""                                                                     | "1,112.4,1,2"                                                          |
| ФП     | 112.4    | 0      | "2,219.6,0,1"                                                          | "1,112.4,2,3"                                                          |
| ФП     | 112.4    | 0      | "2,219.6,0,1"                                                          | "1,112.4,3,4"                                                          |
| ФКТ    | 181.1    | 0      | "1,181.1,4,5; 2,219.6,0,1"                                             | ""                                                                     |
| ФП     | 181.1    | 0      | "2,219.6,0,1"                                                          | "1,181.1,4,5"                                                          |
| ФП     | 181.1    | 0      | "2,219.6,0,1"                                                          | "1,181.1,5,6"                                                          |
| ФП     | 181.1    | 1      | "2,219.6,0,1"                                                          | "1,181.1,6,7"                                                          |
| ФКТ    | 219.6    | 1      | "2,219.6,0,1; 1,365.4,7,8"                                             | ""                                                                     |
| ФП     | 219.6    | 1      | "1,365.4,7,8"                                                          | "2,219.6,0,1"                                                          |
| ФП     | 219.6    | 1      | "1,365.4,7,8"                                                          | "2,219.6,1,2"                                                          |
| ФП     | 219.6    | 1      | "3,335.3,0,1; 1,365.4,7,8"                                             | "2,219.6,2,3"                                                          |
| ФП     | 219.6    | 1      | "3,335.3,0,1; 1,365.4,7,8"                                             | "2,219.6,3,4"                                                          |
| ФКТ    | 404.2    | 1      | "3,335.3,0,1; 1,365.4,7,8; 2,404.2,4,5"                                | ""                                                                     |
| ФКТ    | 404.2    | 1      | "1,365.4,7,8; 2,404.2,4,5"                                             | "3,335.3,0,1"                                                          |
| ФКТ    | 404.2    | 1      | "2,404.2,4,5"                                                          | "3,335.3,0,1; 1,365.4,7,8"                                             |
| ФП     | 404.2    | 1      | ""                                                                     | "3,335.3,0,1; 1,365.4,7,8; 2,404.2,4,5"                                |
